title,price,availability,rating,product_url,image_url,upc,category
The Death of Humanity: and the Case for Life,Â£58.11,In stock (16 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,https://books.toscrape.com/media/cache/3f/f6/3ff6fe5d0c5ca7ab2ed8b5971e299caa.jpg,bd261725b99f5983,Philosophy
The Stranger,Â£17.44,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-stranger_861/index.html,https://books.toscrape.com/media/cache/c8/1a/c81aea97de1daaa0081d96f8564c204c.jpg,f5a92cff83897d48,Philosophy
Proofs of God: Classical Arguments from Tertullian to Barth,Â£54.21,In stock (8 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html,https://books.toscrape.com/media/cache/f6/cb/f6cb2300a1235a344f1c11b2be9a605d.jpg,d56d0710668bb39c,Philosophy
Kierkegaard: A Christian Missionary to Christians,Â£47.13,In stock (8 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html,https://books.toscrape.com/media/cache/bf/90/bf90ad2c3cab628096db8fca010797b4.jpg,0cf57cb49272fd37,Philosophy
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Â£29.93,In stock (7 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html,https://books.toscrape.com/media/cache/ce/da/ceda6d577d0609261f997bd99872013b.jpg,6b52904b2ab91bf6,Philosophy
Critique of Pure Reason,Â£20.75,In stock (5 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html,https://books.toscrape.com/media/cache/3b/28/3b28ec3663a81d36272a08e5a49644f2.jpg,429b4a811bef386c,Philosophy
"Run, Spot, Run: The Ethics of Keeping Pets",Â£20.02,In stock (2 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html,https://books.toscrape.com/media/cache/8c/bf/8cbf4667b5798cb8195f1e126ddd6a5c.jpg,b0e479be03911916,Philosophy
The Nicomachean Ethics,Â£36.34,In stock (1 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html,https://books.toscrape.com/media/cache/16/f4/16f4518319f7dcadc23d020279f78545.jpg,5c10b64db3e4f228,Philosophy
Meditations,Â£25.89,In stock (1 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/meditations_33/index.html,https://books.toscrape.com/media/cache/90/f7/90f79652caecac36bc97bf7b769c8fc4.jpg,4f19709e47883df5,Philosophy
Beyond Good and Evil,Â£43.38,In stock (1 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html,https://books.toscrape.com/media/cache/d1/7f/d17f326e3fcaf84c37d6d51e3470bcc6.jpg,08672cd59171d5e4,Philosophy
