title,price,availability,rating,product_url,image_url,upc,category
Cravings: Recipes for What You Want to Eat,Â£20.50,In stock (11 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/cravings-recipes-for-what-you-want-to-eat_589/index.html,https://books.toscrape.com/media/cache/7d/b4/7db4a7faaa0ea5134cabbb517bdd6cc7.jpg,2587c54f5530dafc,Food and Drink
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Â£12.34,In stock (9 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-moosewood-cookbook-recipes-from-moosewood-restaurant-ithaca-new-york_574/index.html,https://books.toscrape.com/media/cache/c1/87/c187a9eb27d932f862ac06beec15c24c.jpg,65cfc9f242c2984a,Food and Drink
32 Yolks,Â£53.63,In stock (8 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/32-yolks_510/index.html,https://books.toscrape.com/media/cache/76/03/76038c9e795babed29d370097247c9a6.jpg,b1a227b7609ff263,Food and Drink
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",Â£11.38,In stock (7 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/naturally-lean-125-nourishing-gluten-free-plant-based-recipes-all-under-300-calories_479/index.html,https://books.toscrape.com/media/cache/5b/46/5b466903acc905deb89019c0407848c4.jpg,924438fc6cbec836,Food and Drink
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,In stock (19 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,https://books.toscrape.com/media/cache/9f/58/9f58d3ff6d58589eaf325b1a33c303a0.jpg,5674a18a29a43ced,Food and Drink
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,https://books.toscrape.com/media/cache/fd/af/fdaf3c3104c559941c01e840fecd2659.jpg,142d767a56a9254d,Food and Drink
My Paris Kitchen: Recipes and Stories,Â£33.37,In stock (16 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,https://books.toscrape.com/media/cache/ae/d5/aed548aefcac7803a599b05da3acb86e.jpg,784bc2279baa878d,Food and Drink
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Â£14.02,In stock (16 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,https://books.toscrape.com/media/cache/48/19/48192cbef9101060e3787d87d7c8d7d1.jpg,72f9d5be3472d34e,Food and Drink
"Layered: Baking, Building, and Styling Spectacular Cakes",Â£40.11,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,https://books.toscrape.com/media/cache/73/06/7306b860c7887dfb2a4b0083e2d6bf0d.jpg,7b75cc7f223791f4,Food and Drink
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Â£37.34,In stock (15 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,https://books.toscrape.com/media/cache/41/57/4157492623f9552e3efdc858a19968f3.jpg,e4c7f3487d17fd42,Food and Drink
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Â£37.60,In stock (15 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,https://books.toscrape.com/media/cache/88/e7/88e70e44632c3ca306191007bc723806.jpg,e28e330cbdf01126,Food and Drink
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Â£41.25,In stock (15 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,https://books.toscrape.com/media/cache/81/37/81374b88e925ba998c4049abcf805196.jpg,96a38e7c813d8f1d,Food and Drink
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Â£42.16,In stock (15 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html,https://books.toscrape.com/media/cache/38/c3/38c342d52a30a8eb38b34668e9777222.jpg,46c1530d7546ea6d,Food and Drink
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Â£28.77,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-help-yourself-cookbook-for-kids-60-easy-plant-based-recipes-kids-can-make-to-stay-healthy-and-save-the-earth_751/index.html,https://books.toscrape.com/media/cache/bc/eb/bceb609c54f7739682b319a27a5b9783.jpg,ddc8340dabc8641b,Food and Drink
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Â£19.55,In stock (14 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/its-all-easy-healthy-delicious-weeknight-meals-in-under-30-minutes_706/index.html,https://books.toscrape.com/media/cache/38/08/380869ceca4ab70f8620b02187bdf60a.jpg,245e6bf08b8d2955,Food and Drink
Barefoot Contessa Back to Basics,Â£28.01,In stock (14 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/barefoot-contessa-back-to-basics_667/index.html,https://books.toscrape.com/media/cache/29/b1/29b1f537504f37527f1bf8182559684e.jpg,999912e63a3262ae,Food and Drink
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Â£50.62,In stock (14 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/barefoot-contessa-at-home-everyday-recipes-youll-make-over-and-over-again_666/index.html,https://books.toscrape.com/media/cache/4e/92/4e92fef6b2d96fb732480c484dcb1a98.jpg,0e0da9192a025efc,Food and Drink
My Kitchen Year: 136 Recipes That Saved My Life,Â£11.53,In stock (13 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/my-kitchen-year-136-recipes-that-saved-my-life_646/index.html,https://books.toscrape.com/media/cache/70/48/7048787b6fdc04627217bf39465acb7e.jpg,8bbd7df8a324f31d,Food and Drink
Everyday Italian: 125 Simple and Delicious Recipes,Â£20.10,In stock (12 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/everyday-italian-125-simple-and-delicious-recipes_618/index.html,https://books.toscrape.com/media/cache/4e/eb/4eebc29c9f3885800e6ae2c62c836145.jpg,76319fe9d8b465a3,Food and Drink
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Â£38.77,In stock (12 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/a-la-mode-120-recipes-in-60-pairings-pies-tarts-cakes-crisps-and-more-topped-with-ice-cream-gelato-frozen-custard-and-more_611/index.html,https://books.toscrape.com/media/cache/f4/9c/f49c0d70aedc01b5eb0988d35c77550c.jpg,a4eef523118805ef,Food and Drink
Cravings: Recipes for What You Want to Eat,Â£20.50,In stock (11 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/cravings-recipes-for-what-you-want-to-eat_589/index.html,https://books.toscrape.com/media/cache/7d/b4/7db4a7faaa0ea5134cabbb517bdd6cc7.jpg,2587c54f5530dafc,Food and Drink
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Â£12.34,In stock (9 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-moosewood-cookbook-recipes-from-moosewood-restaurant-ithaca-new-york_574/index.html,https://books.toscrape.com/media/cache/c1/87/c187a9eb27d932f862ac06beec15c24c.jpg,65cfc9f242c2984a,Food and Drink
32 Yolks,Â£53.63,In stock (8 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/32-yolks_510/index.html,https://books.toscrape.com/media/cache/76/03/76038c9e795babed29d370097247c9a6.jpg,b1a227b7609ff263,Food and Drink
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",Â£11.38,In stock (7 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/naturally-lean-125-nourishing-gluten-free-plant-based-recipes-all-under-300-calories_479/index.html,https://books.toscrape.com/media/cache/5b/46/5b466903acc905deb89019c0407848c4.jpg,924438fc6cbec836,Food and Drink
