title,price,availability,rating,product_url,image_url,upc,category
Sharp Objects,Â£47.82,In stock (20 available) In stock In stock In stock,4,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,https://books.toscrape.com/media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,e00eb4fd7b871a48,Mystery
"In a Dark, Dark Wood",Â£19.63,In stock (18 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,https://books.toscrape.com/media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg,19ed25f4641d5efd,Mystery
The Past Never Ends,Â£56.50,In stock (16 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,https://books.toscrape.com/media/cache/9d/f2/9df248dcefeaba9eeb519a59b248f72c.jpg,5ee94540d0749ea0,Mystery
A Murder in Time,Â£16.64,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,https://books.toscrape.com/media/cache/cc/bd/ccbd7a62caefd5a3a2e04dd7c2ff48fe.jpg,f733e8c19d40ec2e,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),Â£44.10,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,https://books.toscrape.com/media/cache/86/38/8638ba095b3b32e0abdef170e7bc4fd6.jpg,c7b5183f4d1d4efe,Mystery
The Last Mile (Amos Decker #2),Â£54.21,In stock (14 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,https://books.toscrape.com/media/cache/e6/dc/e6dcc8f75214eb14edc1ce09c98f3d71.jpg,3bc89353f7e3a3cc,Mystery
That Darkness (Gardiner and Renner #1),Â£13.92,In stock (14 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,https://books.toscrape.com/media/cache/23/b8/23b81994234ac127d701db1531a08e48.jpg,0c7b9cf2b7662b65,Mystery
Tastes Like Fear (DI Marnie Rome #3),Â£10.69,In stock (14 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,https://books.toscrape.com/media/cache/74/9b/749bca168778cf35fdb2441a9d6b403f.jpg,2d1e337aaf341858,Mystery
A Time of Torment (Charlie Parker #14),Â£48.35,In stock (14 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,https://books.toscrape.com/media/cache/f1/37/f137a410ed7d6fcfce17d081caf97915.jpg,4416c474713ec1f5,Mystery
A Study in Scarlet (Sherlock Holmes #1),Â£16.73,In stock (14 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,https://books.toscrape.com/media/cache/27/40/274003f2720f82844873945b87af6c19.jpg,63ee5bc46066a8a8,Mystery
Poisonous (Max Revere Novels #3),Â£26.80,In stock (12 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,https://books.toscrape.com/media/cache/8d/52/8d52227d29e03695ef755620078b7815.jpg,abdd91e96515a617,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),Â£54.36,In stock (12 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,https://books.toscrape.com/media/cache/19/74/19748437aac103dbdeb1918062728726.jpg,e7fe3bf2768602cf,Mystery
Most Wanted,Â£35.28,In stock (12 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/most-wanted_623/index.html,https://books.toscrape.com/media/cache/fa/b5/fab5e650b19b76c5f5d1ce3a626376b1.jpg,c039f5aceb093537,Mystery
Hide Away (Eve Duncan #20),Â£11.84,In stock (12 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,https://books.toscrape.com/media/cache/b2/c5/b2c501b848bccd9cc375771f53c0fb6e.jpg,bddc6fd036eb6279,Mystery
Boar Island (Anna Pigeon #19),Â£59.48,In stock (12 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,https://books.toscrape.com/media/cache/91/8c/918c2c95ae90495cdb0371a22b726d82.jpg,49b24c6a41b82bd2,Mystery
The Widow,Â£27.26,In stock (11 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-widow_609/index.html,https://books.toscrape.com/media/cache/e4/37/e43737572b04c7ad28b35f3da29eb8dd.jpg,6159d8b187831770,Mystery
Playing with Fire,Â£13.71,In stock (11 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,https://books.toscrape.com/media/cache/09/02/0902666ade8ab8183363e53c108e5069.jpg,05a61a3bd8ca4149,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),Â£25.37,In stock (7 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,https://books.toscrape.com/media/cache/2c/68/2c6857eb1c10995c8b9e77a1804f68cd.jpg,9735c969c652dd89,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Â£52.30,In stock (7 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,https://books.toscrape.com/media/cache/38/a4/38a44ac4f642f4717d865c81ec594529.jpg,20789fb17b423c4c,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),Â£20.89,In stock (7 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,https://books.toscrape.com/media/cache/5c/8a/5c8acde540a88aed464ab5c52bafcd83.jpg,4e980425468708da,Mystery
Sharp Objects,Â£47.82,In stock (20 available) In stock In stock In stock,4,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,https://books.toscrape.com/media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,e00eb4fd7b871a48,Mystery
"In a Dark, Dark Wood",Â£19.63,In stock (18 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,https://books.toscrape.com/media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg,19ed25f4641d5efd,Mystery
The Past Never Ends,Â£56.50,In stock (16 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,https://books.toscrape.com/media/cache/9d/f2/9df248dcefeaba9eeb519a59b248f72c.jpg,5ee94540d0749ea0,Mystery
A Murder in Time,Â£16.64,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,https://books.toscrape.com/media/cache/cc/bd/ccbd7a62caefd5a3a2e04dd7c2ff48fe.jpg,f733e8c19d40ec2e,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),Â£44.10,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,https://books.toscrape.com/media/cache/86/38/8638ba095b3b32e0abdef170e7bc4fd6.jpg,c7b5183f4d1d4efe,Mystery
The Last Mile (Amos Decker #2),Â£54.21,In stock (14 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,https://books.toscrape.com/media/cache/e6/dc/e6dcc8f75214eb14edc1ce09c98f3d71.jpg,3bc89353f7e3a3cc,Mystery
That Darkness (Gardiner and Renner #1),Â£13.92,In stock (14 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,https://books.toscrape.com/media/cache/23/b8/23b81994234ac127d701db1531a08e48.jpg,0c7b9cf2b7662b65,Mystery
Tastes Like Fear (DI Marnie Rome #3),Â£10.69,In stock (14 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,https://books.toscrape.com/media/cache/74/9b/749bca168778cf35fdb2441a9d6b403f.jpg,2d1e337aaf341858,Mystery
A Time of Torment (Charlie Parker #14),Â£48.35,In stock (14 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,https://books.toscrape.com/media/cache/f1/37/f137a410ed7d6fcfce17d081caf97915.jpg,4416c474713ec1f5,Mystery
A Study in Scarlet (Sherlock Holmes #1),Â£16.73,In stock (14 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,https://books.toscrape.com/media/cache/27/40/274003f2720f82844873945b87af6c19.jpg,63ee5bc46066a8a8,Mystery
Poisonous (Max Revere Novels #3),Â£26.80,In stock (12 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,https://books.toscrape.com/media/cache/8d/52/8d52227d29e03695ef755620078b7815.jpg,abdd91e96515a617,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),Â£54.36,In stock (12 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,https://books.toscrape.com/media/cache/19/74/19748437aac103dbdeb1918062728726.jpg,e7fe3bf2768602cf,Mystery
Most Wanted,Â£35.28,In stock (12 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/most-wanted_623/index.html,https://books.toscrape.com/media/cache/fa/b5/fab5e650b19b76c5f5d1ce3a626376b1.jpg,c039f5aceb093537,Mystery
Hide Away (Eve Duncan #20),Â£11.84,In stock (12 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,https://books.toscrape.com/media/cache/b2/c5/b2c501b848bccd9cc375771f53c0fb6e.jpg,bddc6fd036eb6279,Mystery
Boar Island (Anna Pigeon #19),Â£59.48,In stock (12 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,https://books.toscrape.com/media/cache/91/8c/918c2c95ae90495cdb0371a22b726d82.jpg,49b24c6a41b82bd2,Mystery
The Widow,Â£27.26,In stock (11 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-widow_609/index.html,https://books.toscrape.com/media/cache/e4/37/e43737572b04c7ad28b35f3da29eb8dd.jpg,6159d8b187831770,Mystery
Playing with Fire,Â£13.71,In stock (11 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,https://books.toscrape.com/media/cache/09/02/0902666ade8ab8183363e53c108e5069.jpg,05a61a3bd8ca4149,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),Â£25.37,In stock (7 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,https://books.toscrape.com/media/cache/2c/68/2c6857eb1c10995c8b9e77a1804f68cd.jpg,9735c969c652dd89,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Â£52.30,In stock (7 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,https://books.toscrape.com/media/cache/38/a4/38a44ac4f642f4717d865c81ec594529.jpg,20789fb17b423c4c,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),Â£20.89,In stock (7 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,https://books.toscrape.com/media/cache/5c/8a/5c8acde540a88aed464ab5c52bafcd83.jpg,4e980425468708da,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),Â£24.80,In stock (6 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,https://books.toscrape.com/media/cache/6b/61/6b61d393f0731f6c52182ba3cf41e245.jpg,2da5edf8b5776c9a,Mystery
In the Woods (Dublin Murder Squad #1),Â£38.38,In stock (6 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html,https://books.toscrape.com/media/cache/13/47/13470484ded8c835ce03b662fc863a1a.jpg,6958de044cb28a84,Mystery
The Silkworm (Cormoran Strike #2),Â£23.05,In stock (3 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html,https://books.toscrape.com/media/cache/fa/d2/fad227281b25d606782218a33323991b.jpg,f06039c29b5891fa,Mystery
The Exiled,Â£43.45,In stock (3 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-exiled_247/index.html,https://books.toscrape.com/media/cache/dd/29/dd29147b962e4480491cac5bce41e4e4.jpg,dd003e904727281a,Mystery
The Cuckoo's Calling (Cormoran Strike #1),Â£19.21,In stock (3 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html,https://books.toscrape.com/media/cache/72/ec/72ec24f082aba608ca37bc3aeaf57317.jpg,1be6d3b121865edb,Mystery
Extreme Prey (Lucas Davenport #26),Â£25.40,In stock (3 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html,https://books.toscrape.com/media/cache/0a/b2/0ab24d35793497f6a72137191b91659e.jpg,588ba85ff11a3263,Mystery
Career of Evil (Cormoran Strike #3),Â£24.72,In stock (3 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html,https://books.toscrape.com/media/cache/40/f8/40f897ffbfda6e88e5763c157cfd0930.jpg,b461cf238506c5b8,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Â£57.70,In stock (1 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html,https://books.toscrape.com/media/cache/62/8c/628c0151226402726149c98549671250.jpg,b0913e67d38d5ed5,Mystery
The Girl You Lost,Â£12.29,In stock (1 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html,https://books.toscrape.com/media/cache/28/15/2815974db428ea019fc84e08af23095b.jpg,4280ac3eab57aa5d,Mystery
The Girl In The Ice (DCI Erika Foster #1),Â£15.85,In stock (1 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html,https://books.toscrape.com/media/cache/83/54/835421d17d99c89fd99d07e17806357b.jpg,ee61197edb882599,Mystery
Blood Defense (Samantha Brinkman #1),Â£20.30,In stock (1 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html,https://books.toscrape.com/media/cache/ea/12/ea12c82131832c5d772fdbd3cb56ced7.jpg,95cdfd514098c38b,Mystery
1st to Die (Women's Murder Club #1),Â£53.98,In stock (1 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html,https://books.toscrape.com/media/cache/f6/8e/f68e6ae2f9da04fccbde8442b0a1b52a.jpg,f684a82adc49f011,Mystery
