title,price,availability,rating,product_url,image_url,upc,category
The Wild Robot,Â£56.07,In stock (3 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-wild-robot_288/index.html,https://books.toscrape.com/media/cache/42/48/424876ee529de5b557ebd69286c87343.jpg,75fed6a47f69859d,Childrens
The Thing About Jellyfish,Â£48.77,In stock (3 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-thing-about-jellyfish_283/index.html,https://books.toscrape.com/media/cache/ef/d3/efd3fd5390be3a440e28b03b5bb0fd95.jpg,3d15714d4d3d15dd,Childrens
The Lonely Ones,Â£43.59,In stock (3 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-lonely-ones_261/index.html,https://books.toscrape.com/media/cache/ff/f6/fff64acb3c65cbea2ac9209c2a57af17.jpg,cf2f27fdf94ba20e,Childrens
The Day the Crayons Came Home (Crayons),Â£26.33,In stock (3 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-day-the-crayons-came-home-crayons_241/index.html,https://books.toscrape.com/media/cache/34/b2/34b2631bafd148bcd8dcd850a4b75971.jpg,b22362b434e8ee62,Childrens
Birdsong: A Story in Pictures,Â£54.64,In stock (19 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,https://books.toscrape.com/media/cache/af/2f/af2fe2419ea136f2cd567aa92082c3ae.jpg,9528d0948525bf5f,Childrens
The Bear and the Piano,Â£36.89,In stock (18 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,https://books.toscrape.com/media/cache/d0/87/d0876dcd1a6530a4cb54903aad7a3e28.jpg,9f6568e9c95f60b0,Childrens
The Secret of Dreadwillow Carse,Â£56.13,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,https://books.toscrape.com/media/cache/7b/fd/7bfde4a3d6793f13e9a2d8851a398847.jpg,b5ea0b5dabed25a8,Childrens
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Â£58.08,In stock (15 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,https://books.toscrape.com/media/cache/49/0e/490e049133ee9f398e6a70f25c12e308.jpg,37c0cb19713d8dda,Childrens
Little Red,Â£13.47,In stock (15 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/little-red_817/index.html,https://books.toscrape.com/media/cache/63/6b/636b836f5c3d67b9cda1948f5ca08694.jpg,4aa03792b50f0b22,Childrens
Walt Disney's Alice in Wonderland,Â£12.96,In stock (14 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/walt-disneys-alice-in-wonderland_777/index.html,https://books.toscrape.com/media/cache/0f/65/0f65a1f2a3705c67b3d2a787ab3e8b99.jpg,6a31307a81e8f3a8,Childrens
Twenty Yawns,Â£22.08,In stock (14 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/twenty-yawns_773/index.html,https://books.toscrape.com/media/cache/40/d7/40d7f9433c2f23370659c925a45fdcad.jpg,1d6443ffba9dfd80,Childrens
Rain Fish,Â£23.57,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/rain-fish_728/index.html,https://books.toscrape.com/media/cache/ea/1f/ea1f22fa3179f3f84fbadd24fe89a1fd.jpg,a6454e329f872b78,Childrens
Once Was a Time,Â£18.28,In stock (14 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/once-was-a-time_724/index.html,https://books.toscrape.com/media/cache/e6/5e/e65e45701ce6d2da8c5cf31d6208ff02.jpg,e34efcc824685332,Childrens
Luis Paints the World,Â£53.95,In stock (14 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/luis-paints-the-world_714/index.html,https://books.toscrape.com/media/cache/34/1e/341e9af2106811a4ca8e56ce92762580.jpg,5b43cae640f2338a,Childrens
Nap-a-Roo,Â£25.08,In stock (9 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/nap-a-roo_567/index.html,https://books.toscrape.com/media/cache/b9/43/b9437eda691f483d2174a1b94c8c9d06.jpg,913e7109cec0cb4c,Childrens
The Whale,Â£35.96,In stock (7 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/the-whale_501/index.html,https://books.toscrape.com/media/cache/6c/df/6cdf7a3ee6cfd5ecbcfd37bd7a5c42e3.jpg,0ff9d10864db8364,Childrens
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Â£52.87,In stock (7 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/shrunken-treasures-literary-classics-short-sweet-and-silly_484/index.html,https://books.toscrape.com/media/cache/7b/b9/7bb9386b43f2aeaa6eaf042df1b4e96f.jpg,9639e89d20228e6e,Childrens
Raymie Nightingale,Â£34.41,In stock (7 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/raymie-nightingale_482/index.html,https://books.toscrape.com/media/cache/95/6b/956b5a8927463f4ea0774e2469e27ce5.jpg,31c56c4d0fe19340,Childrens
Playing from the Heart,Â£32.38,In stock (7 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/playing-from-the-heart_481/index.html,https://books.toscrape.com/media/cache/b6/ba/b6ba2393c312701f1471db91eb73284d.jpg,68008abf6409dfde,Childrens
Maybe Something Beautiful: How Art Transformed a Neighborhood,Â£22.54,In stock (5 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/maybe-something-beautiful-how-art-transformed-a-neighborhood_386/index.html,https://books.toscrape.com/media/cache/89/9a/899a07816ced14262169345493bbbe51.jpg,81c68492ccd72941,Childrens
The Wild Robot,Â£56.07,In stock (3 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-wild-robot_288/index.html,https://books.toscrape.com/media/cache/42/48/424876ee529de5b557ebd69286c87343.jpg,75fed6a47f69859d,Childrens
The Thing About Jellyfish,Â£48.77,In stock (3 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-thing-about-jellyfish_283/index.html,https://books.toscrape.com/media/cache/ef/d3/efd3fd5390be3a440e28b03b5bb0fd95.jpg,3d15714d4d3d15dd,Childrens
The Lonely Ones,Â£43.59,In stock (3 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-lonely-ones_261/index.html,https://books.toscrape.com/media/cache/ff/f6/fff64acb3c65cbea2ac9209c2a57af17.jpg,cf2f27fdf94ba20e,Childrens
The Day the Crayons Came Home (Crayons),Â£26.33,In stock (3 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-day-the-crayons-came-home-crayons_241/index.html,https://books.toscrape.com/media/cache/34/b2/34b2631bafd148bcd8dcd850a4b75971.jpg,b22362b434e8ee62,Childrens
