title,price,availability,rating,product_url,image_url,upc,category
Reasons to Stay Alive,Â£26.41,In stock (17 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,https://books.toscrape.com/media/cache/f5/3c/f53c7d21723c860cfbca2b539bc55b8f.jpg,c8f7f0cb1abb9cac,Nonfiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,In stock (17 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,https://books.toscrape.com/media/cache/71/45/71451e3bba61a8d888a4a2c6526a4bcf.jpg,c27f6e1f185b0383,Nonfiction
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,In stock (16 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,https://books.toscrape.com/media/cache/88/a4/88a4b5f7236b8a36ba972be5ebe4f252.jpg,d170b5a0da46380e,Nonfiction
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,In stock (16 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,https://books.toscrape.com/media/cache/f4/21/f4210912ca58ef35f8ad120fe3dfed38.jpg,7858914fad68493c,Nonfiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â£16.77,In stock (16 available) In stock In stock In stock In stock In stock In stock,3,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,https://books.toscrape.com/media/cache/26/65/2665876e19a6c92130f02cfda3bd3846.jpg,0da9aa9d24677fc0,Nonfiction
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â£37.13,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,https://books.toscrape.com/media/cache/73/cb/73cb1236d96f455d712516fffeae2304.jpg,acd86a5426e21ca0,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,Â£56.06,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,https://books.toscrape.com/media/cache/b1/0f/b10faf0dee8994865437ffc79682dc2f.jpg,a30b270e25489e5c,Nonfiction
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Â£41.83,In stock (16 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,https://books.toscrape.com/media/cache/17/19/1719475c51206a410a90fe5f3708df4c.jpg,87b0615b6e1f4d7b,Nonfiction
Reskilling America: Learning to Labor in the Twenty-First Century,Â£19.83,In stock (16 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,https://books.toscrape.com/media/cache/2c/d2/2cd2b814b8a8cd3a49895cbd13a8b1f4.jpg,d7310206583a54b6,Nonfiction
In the Country We Love: My Family Divided,Â£22.00,In stock (16 available) In stock In stock In stock In stock In stock In stock,4,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,https://books.toscrape.com/media/cache/11/08/1108a8d9ebccd9cd474012121c32a7f5.jpg,b136b1b180ca753a,Nonfiction
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Â£54.35,In stock (16 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,https://books.toscrape.com/media/cache/15/97/15972684c6f44f1be5e751d2e067cc16.jpg,311c0dd0e354a33e,Nonfiction
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Â£29.14,In stock (16 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,https://books.toscrape.com/media/cache/c5/f2/c5f2361aab546bc7f851cf93aec94ca3.jpg,bee3672891cca906,Nonfiction
Algorithms to Live By: The Computer Science of Human Decisions,Â£30.81,In stock (16 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,https://books.toscrape.com/media/cache/28/ea/28ea530a8b7955e422df64beaed7871a.jpg,38d45839cb1c83c1,Nonfiction
The Power of Now: A Guide to Spiritual Enlightenment,Â£43.54,In stock (15 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,https://books.toscrape.com/media/cache/13/2a/132a17f55f0048a2f2df748c9f5ce4e4.jpg,8ec14b1576cb7cb5,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,Â£38.21,In stock (15 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,https://books.toscrape.com/media/cache/3d/9d/3d9d46815a4be5e5e6f5e641d8268961.jpg,209adad1015af86f,Nonfiction
The Genius of Birds,Â£17.24,In stock (15 available) In stock In stock In stock In stock In stock In stock,1,https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html,https://books.toscrape.com/media/cache/2e/52/2e52982210cbc8dffe414cab72b52e38.jpg,42d0d7c92b75fc1c,Nonfiction
The Artist's Way: A Spiritual Path to Higher Creativity,Â£38.49,In stock (15 available) In stock In stock In stock In stock In stock In stock,5,https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,https://books.toscrape.com/media/cache/3b/41/3b414b6d0340a0cbbd05be0942ddaada.jpg,dd047728de72ad62,Nonfiction
So You've Been Publicly Shamed,Â£12.23,In stock (15 available) In stock In stock In stock In stock In stock In stock,2,https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html,https://books.toscrape.com/media/cache/9d/15/9d150a1d5832bb9e3b82bbc1541912d6.jpg,1b33663ad7b95fd8,Nonfiction
